,townships,sr,First_ts,First_sr,Township_Name_Eng,Tsp_Pcode,SR_Pcode,SR_Name_Eng,Township_Name_MMR
0,Mingaladon Township,Yangon Region,Mingaladon,Yangon,Mingaladon,MMR013002,MMR013,Yangon,မင်္ဂလာဒုံ
1,North Okkalapa Township,Yangon Region,North Okkalapa,Yangon,North Okkalapa,MMR013012,MMR013,Yangon,မြောက်ဥက္ကလာပ
2,Hlaingtharya Township,Yangon Region,Hlaingtharya,Yangon,Hlaingtharya,MMR013008,MMR013,Yangon,လှိုင်သာယာ
3,Insein Township,Yangon Region,Insein,Yangon,Insein,MMR013001,MMR013,Yangon,အင်းစိန်
4,Thingangyun Township,Yangon Region,Thingangyun,Yangon,Thingangyun,MMR013009,MMR013,Yangon,သင်္ဃန်းကျွန်း
5,Mayangone Township,Yangon Region,Mayangone,Yangon,Mayangone,MMR013042,MMR013,Yangon,မရမ်းကုန်း
6,Shwepyithar Township,Yangon Region,Shwepyithar,Yangon,Shwepyithar,MMR013007,MMR013,Yangon,ရွှေပြည်သာ
7,Dagon Myothit (South) Township,Yangon Region,Dagon Myothit (South),Yangon,Dagon Myothit (South),MMR013018,MMR013,Yangon,ဒဂုံမြို့သစ် (တောင်ပိုင်း)
8,Tamwe Township,Yangon Region,Tamwe,Yangon,Tamwe,MMR013015,MMR013,Yangon,တာမွေ
9,South Okkalapa Township,Yangon Region,South Okkalapa,Yangon,South Okkalapa,MMR013011,MMR013,Yangon,တောင်ဥက္ကလာပ
10,Hlaing Township,Yangon Region,Hlaing,Yangon,Hlaing,MMR013040,MMR013,Yangon,လှိုင်
11,Thanlyin Township,Yangon Region,Thanlyin,Yangon,Thanlyin,MMR013023,MMR013,Yangon,သန်လျင်
12,Chanayethazan Township,Mandalay Region,Chanayethazan,Mandalay,Chanayethazan,MMR010002,MMR010,Mandalay,ချမ်းအေးသာစံ
13,Aungmyaythazan Township,Mandalay Region,Aungmyaythazan,Mandalay,Aungmyaythazan,MMR010001,MMR010,Mandalay,အောင်မြေသာစံ
14,Kamaryut Township,Yangon Region,Kamaryut,Yangon,Kamaryut,MMR013041,MMR013,Yangon,ကမာရွတ်
15,Mahaaungmyay Township,Mandalay Region,Mahaaungmyay,Mandalay,Mahaaungmyay,MMR010003,MMR010,Mandalay,မဟာအောင်မြေ
16,Thaketa Township,Yangon Region,Thaketa,Yangon,Thaketa,MMR013013,MMR013,Yangon,သာကေတ
17,Dagon Myothit (North) Township,Yangon Region,Dagon Myothit (North),Yangon,Dagon Myothit (North),MMR013019,MMR013,Yangon,ဒဂုံမြို့သစ် (မြောက်ပိုင်း)
18,Hmawbi Township,Yangon Region,Hmawbi,Yangon,Hmawbi,MMR013003,MMR013,Yangon,မှော်ဘီ
19,Dagon Myothit (East) Township,Yangon Region,Dagon Myothit (East),Yangon,Dagon Myothit (East),MMR013020,MMR013,Yangon,ဒဂုံမြို့သစ် (အရှေ့ပိုင်း)
20,Kyeemyindaing Township,Yangon Region,Kyeemyindaing,Yangon,Kyeemyindaing,MMR013038,MMR013,Yangon,ကြည့်မြင်တိုင်
21,Sanchaung Township,Yangon Region,Sanchaung,Yangon,Sanchaung,MMR013039,MMR013,Yangon,စမ်းချောင်း
22,Chanmyathazi Township,Mandalay Region,Chanmyathazi,Mandalay,Chanmyathazi,MMR010004,MMR010,Mandalay,ချမ်းမြသာစည်
