id,upload_date,cumulative_no,First_ts,First_sr
1,1/15/2021,6015,Mingaladon,Yangon
2,1/15/2021,5819,North Okkalapa,Yangon
3,1/15/2021,4795,Hlaingtharya,Yangon
4,1/15/2021,4597,Insein,Yangon
5,1/15/2021,4528,Thingangyun,Yangon
6,1/15/2021,3829,Mayangone,Yangon
7,1/15/2021,3792,Shwepyithar,Yangon
9,1/15/2021,3172,Dagon Myothit (South),Yangon
10,1/15/2021,3001,Tamwe,Yangon
11,1/15/2021,2961,South Okkalapa,Yangon
12,1/15/2021,2954,Hlaing,Yangon
13,1/15/2021,2848,Thanlyin,Yangon
14,1/15/2021,2651,Chanayethazan,Mandalay
15,1/15/2021,2480,Kamaryut,Yangon
16,1/15/2021,2449,Aungmyaythazan,Mandalay
17,1/15/2021,2440,Mahaaungmyay,Mandalay
18,1/15/2021,2385,Thaketa,Yangon
19,1/15/2021,2308,Dagon Myothit (North),Yangon
20,1/15/2021,2107,Hmawbi,Yangon
21,1/15/2021,2044,Dagon Myothit (East),Yangon
22,1/15/2021,2038,Kyeemyindaing,Yangon
23,1/15/2021,2024,Sanchaung,Yangon
24,1/15/2021,1916,Chanmyathazi,Mandalay
25,1/15/2021,1836,Mingalartaungnyunt,Yangon
26,1/15/2021,1579,Amarapura,Mandalay
27,1/15/2021,1549,Sittwe,Rakhine
28,1/15/2021,1546,Bahan,Yangon
29,1/15/2021,1411,Dala,Yangon
30,1/15/2021,1363,Mawlamyine,Mon
31,1/15/2021,1294,Yankin,Yangon
32,1/15/2021,1276,Lanmadaw,Yangon
33,1/15/2021,1250,Dagon Myothit (Seikkan),Yangon
34,1/15/2021,1169,Botahtaung,Yangon
35,1/15/2021,1117,Hlegu,Yangon
36,1/15/2021,1102,Dawbon,Yangon
37,1/15/2021,1088,Ahlone,Yangon
38,1/15/2021,949,Kyauktan,Yangon
39,1/15/2021,944,Pyigyitagon,Mandalay
40,1/15/2021,923,Twantay,Yangon
41,1/15/2021,880,Pabedan,Yangon
