,id,upload_date,townships,sr,cumulative_no,First_ts,First_sr,Township_Name_Eng,Tsp_Pcode,SR_Pcode,SR_Name_Eng,Township_Name_MMR
0,1,1/15/2021,Mingaladon Township,Yangon Region,6015,Mingaladon,Yangon,Mingaladon,MMR013002,MMR013,Yangon,á€™á€„á€ºá€¹á€‚á€œá€¬á€’á€¯á€¶
1,2,1/15/2021,North Okkalapa Township,Yangon Region,5819,North Okkalapa,Yangon,North Okkalapa,MMR013012,MMR013,Yangon,á€™á€¼á€±á€¬á€€á€ºá€¥á€€á€¹á€€á€œá€¬á€•
2,3,1/15/2021,Hlaingtharya Township,Yangon Region,4795,Hlaingtharya,Yangon,Hlaingtharya,MMR013008,MMR013,Yangon,á€œá€¾á€­á€¯á€„á€ºá€žá€¬á€šá€¬
3,4,1/15/2021,Insein Township,Yangon Region,4597,Insein,Yangon,Insein,MMR013001,MMR013,Yangon,á€¡á€„á€ºá€¸á€…á€­á€”á€º
4,5,1/15/2021,Thingangyun Township,Yangon Region,4528,Thingangyun,Yangon,Thingangyun,MMR013009,MMR013,Yangon,á€žá€„á€ºá€¹á€ƒá€”á€ºá€¸á€€á€»á€½á€”á€ºá€¸
5,6,1/15/2021,Mayangone Township,Yangon Region,3829,Mayangone,Yangon,Mayangone,MMR013042,MMR013,Yangon,á€™á€›á€™á€ºá€¸á€€á€¯á€”á€ºá€¸
6,7,1/15/2021,Shwepyithar Township,Yangon Region,3792,Shwepyithar,Yangon,Shwepyithar,MMR013007,MMR013,Yangon,á€›á€½á€¾á€±á€•á€¼á€Šá€ºá€žá€¬
7,9,1/15/2021,Dagon Myothit (South) Township,Yangon Region,3172,Dagon Myothit (South),Yangon,Dagon Myothit (South),MMR013018,MMR013,Yangon,á€’á€‚á€¯á€¶á€™á€¼á€­á€¯á€·á€žá€…á€º (á€á€±á€¬á€„á€ºá€•á€­á€¯á€„á€ºá€¸)
8,10,1/15/2021,Tamwe Township,Yangon Region,3001,Tamwe,Yangon,Tamwe,MMR013015,MMR013,Yangon,á€á€¬á€™á€½á€±
9,11,1/15/2021,South Okkalapa Township,Yangon Region,2961,South Okkalapa,Yangon,South Okkalapa,MMR013011,MMR013,Yangon,á€á€±á€¬á€„á€ºá€¥á€€á€¹á€€á€œá€¬á€•
10,12,1/15/2021,Hlaing Township,Yangon Region,2954,Hlaing,Yangon,Hlaing,MMR013040,MMR013,Yangon,á€œá€¾á€­á€¯á€„á€º
11,13,1/15/2021,Thanlyin Township,Yangon Region,2848,Thanlyin,Yangon,Thanlyin,MMR013023,MMR013,Yangon,á€žá€”á€ºá€œá€»á€„á€º
